date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:33	27811/27811	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2004:08:55%20GMT	https://codresearch.dev/index.php/Main_Page	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Main_Page.html	(from )
14:36:34	585/585	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202025%2019:36:34%20GMT	https://codresearch.dev/robots.txt		(from )
14:36:35	113801/113801	---MCZ	200	added ('OK')	text/css	etag:W/%221fv6s-br%22	https://codresearch.dev/load.php?lang=en&modules=skins.vector.icons%2Cstyles%7Cskins.vector.search.codex.styles&only=styles&skin=vector-2022	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/load9973.css	(from https://codresearch.dev/index.php/Main_Page)
14:36:35	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2233608ea-47e-628429bfa1b71-br%22	https://codresearch.dev/favicon.ico	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/favicon.ico	(from https://codresearch.dev/index.php/Main_Page)
14:36:36	903/903	---MC-	200	added ('OK')	application/opensearchdescription+xml	date:Sat,%2011%20Jan%202025%2019:36:35%20GMT	https://codresearch.dev/opensearch_desc.php	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/opensearch_desc.php	(from https://codresearch.dev/index.php/Main_Page)
14:36:36	607/607	---MC-	200	added ('OK')	application/rsd+xml	date:Sat,%2011%20Jan%202025%2019:36:36%20GMT	https://codresearch.dev/api.php?action=rsd	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/api-result251f.xml	(from https://codresearch.dev/index.php/Main_Page)
14:36:36	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2011%20Jan%202025%2019:36:36%20GMT	https://codresearch.dev/index.php?title=Special:RecentChanges&feed=atom	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index890f.php	(from https://codresearch.dev/index.php/Main_Page)
14:36:37	39842/39842	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202025%2019:36:37%20GMT	https://codresearch.dev/index.php/Special:RecentChanges	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Special_RecentChanges	(from https://codresearch.dev/index.php/Main_Page)
14:36:37	0/0	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2011%20Jan%202025%2019:36:37%20GMT	https://codresearch.dev/index.php/Special:Random	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Special_Random	(from https://codresearch.dev/index.php/Main_Page)
14:36:38	26063/26063	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2004:08:55%20GMT	https://codresearch.dev/index.php/DopplerPreset_Asset	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/DopplerPreset_Asset.html	(from https://codresearch.dev/index.php/Main_Page)
14:36:39	24822/24822	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202025%2019:36:38%20GMT	https://codresearch.dev/index.php/Special:Search	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Special_Search.html	(from https://codresearch.dev/index.php/Main_Page)
14:36:39	35412/35412	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202025%2019:36:38%20GMT	https://codresearch.dev/index.php/Special:WhatLinksHere/Main_Page	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Special_WhatLinksHere/Main_Page	(from https://codresearch.dev/index.php/Main_Page)
14:36:40	42767/42767	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Jan%202025%2019:36:39%20GMT	https://codresearch.dev/index.php/Special:RecentChangesLinked/Main_Page	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Special_RecentChangesLinked/Main_Page	(from https://codresearch.dev/index.php/Main_Page)
14:36:40	38971/38971	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20Jan%202025%2019:36:40%20GMT	https://codresearch.dev/index.php/Special:SpecialPages	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Special_SpecialPages.html	(from https://codresearch.dev/index.php/Main_Page)
14:36:41	30537/30537	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2004:08:55%20GMT	https://codresearch.dev/index.php/Category:Utilities	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Category_Utilities.html	(from https://codresearch.dev/index.php/Main_Page)
14:36:41	32044/32044	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2004:08:55%20GMT	https://codresearch.dev/index.php/Category:FastFiles	C:/My%20Web%20Sites/CoD%20Engine%20Research/codresearch.dev/index.php/Category_FastFiles.html	(from https://codresearch.dev/index.php/Main_Page)
